"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
0.000000000E0,1.921129227E-2,1.103198528E-2,-4.773950577E-2
0.000000000E0,4.049301147E-2,1.377594471E-2,-2.628712654E-1
0.000000000E0,3.444480896E-2,4.281520844E-2,-1.452989578E-1
0.000000000E0,1.569652557E-1,3.302824497E-2,4.886913300E-2
0.000000000E0,-1.642370224E-2,3.064572811E-2,8.226060867E-2
0.000000000E0,-1.387515068E-1,5.424678326E-2,-8.040428162E-3
0.000000000E0,-8.286428452E-2,1.096522808E-1,-3.920269012E-2
0.000000000E0,4.640579224E-2,1.033467054E-1,-1.894140244E-2
3.714949000E-3,1.478757858E-1,4.527151585E-2,-1.521587372E-3
8.507345000E-3,1.519012451E-1,-2.439808846E-2,-3.633880615E-2
1.329994900E-2,1.191611290E-1,-5.999422073E-2,-1.041421890E-1
1.809244900E-2,1.026625633E-1,-6.924450397E-2,-1.634573936E-1
2.288494900E-2,1.207132339E-1,-3.876471519E-2,-1.911134720E-1
2.767744900E-2,8.173227310E-2,-1.374220848E-2,-1.624956131E-1
3.246994900E-2,3.601551056E-2,5.903482437E-3,-7.388114929E-2
3.726244900E-2,6.913423538E-2,-7.646822929E-2,-1.193809509E-1
4.205494900E-2,2.915334702E-2,-4.836630821E-2,1.235923767E-1
4.684744900E-2,-5.789041519E-2,-3.351151943E-2,2.763900757E-1
5.163994900E-2,-1.575536728E-1,-7.239091396E-2,3.925628662E-1
5.643244900E-2,-1.979365349E-1,-1.468736529E-1,4.909820557E-1
6.122494900E-2,-1.857986450E-1,-1.897032857E-1,5.252447128E-1
6.601744900E-2,-1.346139908E-1,-2.187001705E-1,6.287431717E-1
7.080994900E-2,-8.892440796E-2,-2.323179245E-1,6.363096237E-1
7.560244900E-2,-8.424186707E-2,-2.770709991E-1,5.337486267E-1
8.039494900E-2,-4.676151276E-2,-3.332909942E-1,3.966026306E-1
8.518744900E-2,-9.454250336E-3,-3.565935493E-1,3.041439056E-1
8.998000100E-2,5.758237839E-2,-3.639355302E-1,3.119678497E-1
9.477250100E-2,1.116647720E-1,-3.670018315E-1,3.378582001E-1
9.956500100E-2,1.530528069E-1,-3.471380472E-1,3.694772720E-1
1.043575010E-1,1.380853653E-1,-3.186953068E-1,3.903560638E-1
1.091500010E-1,1.284275055E-1,-2.399343848E-1,4.910526276E-1
1.139425010E-1,7.244920731E-2,-1.445448399E-1,5.484380722E-1
1.187350010E-1,4.311132431E-2,-9.541487694E-2,5.218906403E-1
1.235275010E-1,6.232309341E-2,-1.327753663E-1,4.552888870E-1
1.283200010E-1,7.490825653E-2,-2.217032909E-1,3.633928299E-1
1.331125010E-1,1.110882759E-1,-2.913664877E-1,3.630428314E-1
1.379050010E-1,1.699795723E-1,-3.193617761E-1,4.213953018E-1
1.426975010E-1,1.574616432E-1,-2.419439256E-1,5.088853836E-1
1.474900010E-1,6.805706024E-2,-1.017013788E-1,5.174655914E-1
1.522825010E-1,2.223682404E-2,2.490943670E-2,6.029634476E-1
1.570750010E-1,-4.915332794E-2,1.194969416E-1,6.163082123E-1
1.618675530E-1,-1.620545387E-1,1.944870949E-1,5.754804611E-1
1.666600530E-1,-2.574028969E-1,2.433231473E-1,5.399942398E-1
1.714525530E-1,-3.124537468E-1,2.831932306E-1,4.791555405E-1
1.762450530E-1,-3.630867004E-1,3.028807044E-1,3.396663666E-1
1.810375530E-1,-3.648443222E-1,2.868828177E-1,2.542228699E-1
1.858300530E-1,-3.609251976E-1,2.879160047E-1,1.348886490E-1
1.906225530E-1,-3.191432953E-1,2.030555606E-1,6.866455078E-2
1.954150530E-1,-2.688865662E-1,2.476761937E-1,4.475593567E-2
2.002075530E-1,-1.849274635E-1,2.248156369E-1,1.984119415E-2
2.050000530E-1,-2.928500175E-1,2.881034613E-1,7.858276367E-2
2.097925530E-1,-4.087052345E-1,3.653647304E-1,1.558876038E-1
2.145850530E-1,1.564087868E-1,3.952940702E-1,4.596509933E-1
2.193775530E-1,-2.739892006E-1,3.998973072E-1,3.499727249E-1
2.241700530E-1,-5.042166710E-1,4.080381691E-1,1.024818420E-1
2.289625530E-1,-6.736736298E-1,4.664127529E-1,-8.040714264E-2
2.337550530E-1,-7.603073120E-1,5.996071100E-1,-1.365699768E-1
2.385475530E-1,-7.594532967E-1,6.769320369E-1,-4.747390747E-2
2.433400530E-1,-7.881946564E-1,7.272180915E-1,3.145122528E-2
2.481326050E-1,-7.942805290E-1,7.484684587E-1,1.051664352E-1
2.529251050E-1,-8.482985497E-1,6.845067739E-1,1.222524643E-1
2.577176050E-1,-8.288812637E-1,6.026004553E-1,6.979084015E-2
2.625101050E-1,-7.743549347E-1,5.029475093E-1,8.006095886E-3
2.673026050E-1,-6.845903397E-1,3.812056482E-1,-3.753662109E-3
2.720951050E-1,-8.609237671E-1,3.253614008E-1,-6.012248993E-2
2.768876050E-1,-6.017236710E-1,2.382131815E-1,-7.324695587E-2
2.816801050E-1,-6.050825119E-2,2.054968923E-1,7.600688934E-2
2.864726050E-1,2.964448929E-1,1.842186898E-1,2.226200104E-1
2.912651050E-1,5.240297318E-1,1.320548505E-1,1.994104385E-1
2.960576050E-1,6.835007668E-1,5.200669169E-2,1.410932541E-1
3.008501050E-1,8.281941414E-1,-3.649836779E-2,5.073547363E-2
3.056426050E-1,8.900549412E-1,-5.780771002E-2,-3.339385986E-2
3.104351050E-1,8.962960243E-1,-5.749416724E-2,-1.608915329E-1
3.152276050E-1,8.669764996E-1,-1.713361777E-2,-3.050441742E-1
3.200201050E-1,8.194425106E-1,3.676151857E-3,-4.560747147E-1
3.248126570E-1,8.062372208E-1,5.474345013E-2,-5.334892273E-1
3.296051570E-1,7.137672901E-1,1.191387028E-1,-5.901269913E-1
