"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.506965610E1,2.542299270E1,1.590615268E1,NaN,NaN,1.827499962E1,1.000000000E0
2.311954166E0,6.506961773E1,2.542290396E1,3.224437688E1,1.279999971E0,3.475000000E2,5.593726635E0,5.175429821E0
3.312187031E0,6.506962511E1,2.542288182E1,2.277519389E1,0.000000000E0,NaN,4.700610638E0,6.708412647E0
3.993284166E0,6.506961849E1,2.542288943E1,1.934843977E1,0.000000000E0,NaN,6.851784706E0,1.023247051E1
4.992968644E0,6.506962566E1,2.542288439E1,2.308586291E1,0.000000000E0,NaN,5.236210346E0,7.877308846E0
5.992444634E0,6.506962639E1,2.542289227E1,2.200676199E1,0.000000000E0,NaN,4.017278194E0,5.499729156E0
6.993031352E0,6.506962354E1,2.542289195E1,2.192357223E1,0.000000000E0,NaN,3.790092468E0,4.932084084E0
7.992937133E0,6.506962346E1,2.542287273E1,2.059111147E1,0.000000000E0,NaN,3.790092468E0,4.442305565E0
8.992788226E0,6.506962814E1,2.542287300E1,1.992820671E1,0.000000000E0,NaN,3.790092468E0,3.927240372E0
9.992999007E0,6.506963775E1,2.542287739E1,1.893595466E1,0.000000000E0,NaN,3.790092468E0,3.874149084E0
1.099334942E1,6.506963860E1,2.542287694E1,1.889316861E1,0.000000000E0,NaN,3.790092468E0,3.541306257E0
1.199269619E1,6.506963742E1,2.542287174E1,1.842576125E1,0.000000000E0,NaN,3.790092468E0,3.310889959E0
1.299318906E1,6.506963761E1,2.542287391E1,1.778855440E1,0.000000000E0,NaN,3.790092468E0,3.098893881E0
1.399263192E1,6.506963545E1,2.542287024E1,1.764127704E1,0.000000000E0,NaN,3.790092468E0,2.888550997E0
1.499314750E1,6.506963421E1,2.542286686E1,1.777909454E1,0.000000000E0,NaN,3.790092468E0,2.693879604E0
1.599266375E1,6.506963211E1,2.542285884E1,1.786307884E1,0.000000000E0,NaN,3.790092468E0,2.620329380E0
1.699331395E1,6.506963228E1,2.542285709E1,1.776407953E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.799281687E1,6.506963194E1,2.542285592E1,1.788572260E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.899336874E1,6.506963164E1,2.542285564E1,1.793748051E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.999288796E1,6.506963150E1,2.542285560E1,1.796750986E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.099229760E1,6.506963143E1,2.542285550E1,1.799064220E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.199311577E1,6.506963155E1,2.542285574E1,1.798185312E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.299254234E1,6.506963152E1,2.542285567E1,1.798728525E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.399310525E1,6.506963068E1,2.542284082E1,1.788889516E1,0.000000000E0,NaN,3.790092468E0,2.587813139E0
2.499258884E1,6.506964204E1,2.542281272E1,1.797873079E1,1.710000038E0,3.423999939E2,3.790092468E0,2.500000000E0
2.599322473E1,6.506965021E1,2.542278880E1,1.863619521E1,1.309999943E0,3.437000122E2,3.790092468E0,2.500000000E0
2.699279676E1,6.506966048E1,2.542276717E1,1.874196224E1,1.309999943E0,3.507999878E2,3.790092468E0,2.500000000E0
2.799336811E1,6.506967315E1,2.542275750E1,1.870008565E1,1.320000052E0,3.507999878E2,3.790092468E0,2.500000000E0
2.899287728E1,6.506968538E1,2.542275043E1,1.834503817E1,1.350000024E0,3.503999939E2,3.790092468E0,2.500000000E0
2.999327264E1,6.506969888E1,2.542274016E1,1.809143020E1,1.450000048E0,3.482000122E2,3.790092468E0,2.500000000E0
3.099268363E1,6.506971315E1,2.542273006E1,1.808068081E1,1.419999957E0,3.503999939E2,3.790092468E0,2.500000000E0
3.199328525E1,6.506972826E1,2.542272000E1,1.857279973E1,1.509999990E0,3.512999878E2,3.790092468E0,2.500000000E0
3.299283843E1,6.506974223E1,2.542271185E1,1.842539299E1,1.429999948E0,3.498999939E2,3.790092468E0,2.500000000E0
3.399337473E1,6.506975604E1,2.542270308E1,1.857089396E1,1.409999967E0,3.502000122E2,3.790092468E0,2.500000000E0
3.499277941E1,6.506977003E1,2.542269509E1,1.851894621E1,1.549999952E0,3.477999878E2,3.790092468E0,2.500000000E0
3.599316827E1,6.506978316E1,2.542268385E1,1.826826797E1,1.490000010E0,3.457999878E2,3.790092468E0,2.500000000E0
3.699273993E1,6.506979594E1,2.542267580E1,1.828431389E1,1.460000038E0,3.500000000E2,3.790092468E0,2.500000000E0
